2026-02-23 10:57:40 | REGISTER | user=TestUser1 | role=user | success=True
2026-02-23 10:58:05 | LOGIN | user=TestUser1 | success=True
2026-03-11 22:42:24 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-11 22:42:38 | OTP_VERIFY | user=admin1 | success=True
2026-03-11 22:43:24 | LOGOUT | user=admin1 | role=admin
2026-03-11 22:43:31 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-11 22:43:45 | OTP_VERIFY | user=admin1 | success=True
2026-03-11 23:17:39 | LOGOUT | user=admin1 | role=admin
2026-03-11 23:30:23 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-11 23:30:40 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-11 23:31:18 | LOGOUT | user=TestUser1 | role=user
2026-03-11 23:31:27 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-11 23:31:41 | OTP_VERIFY | user=admin1 | success=True
2026-03-12 00:02:44 | LOGOUT | user=admin1 | role=admin
2026-03-13 10:40:15 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-13 10:40:28 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-13 10:40:48 | DETECTION | user=TestUser1 | role=user | result=PHISHING | score=9 | triggers=7
2026-03-13 10:41:07 | LOGOUT | user=TestUser1 | role=user
2026-03-13 10:41:15 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-13 10:41:35 | OTP_VERIFY | user=admin1 | success=True
